Multiplier,Simulated Total Peak,SSE
0.0,1156.2434614247074,72039021.9713949
0.02,1156.2434614247074,70995824.61508676
0.04,1156.2434614247074,69923630.6129973
0.06,1156.2434614247074,68821808.3762879
0.08,1156.2434614247074,67689742.95682433
0.1,1156.2434614247074,66526840.75417761
0.12,1156.2434614247074,65332534.819674425
0.14,1156.2434614247074,64106290.822392955
0.16,1156.2434614247074,62847613.74014163
0.18,1156.2434614247074,61556055.36184992
0.2,1156.2434614247074,60231222.68430416
0.22,1156.2434614247074,58872787.30279867
0.24,1156.2434614247074,57480495.899876006
0.26,1156.2434614247074,56054181.96063062
0.28,1188.5276711269248,54593778.76823789
0.3,1244.1136651394313,53099334.03817937
0.32,1302.4611590081126,51571025.99543393
0.34,1363.712380988461,50009181.43709721
0.36,1428.0170279027511,48414295.73790497
0.38,1495.532660093689,46787055.07261456
0.4,1566.4251177281708,45128361.14886759
0.42,1640.8689630990505,43439358.56375095
0.44,1719.0479423989384,41721465.26031092
0.46,1801.155477048344,39976406.23084281
0.48,1887.3951609423564,38206250.973175324
0.5,1977.9813043450356,36413454.98547546
0.52,2073.139536948587,34600905.566270754
0.54,2173.107380323574,32771972.67651003
0.56,2278.134877157301,30930565.356383655
0.58,2388.48526125128,29081193.98571115
0.6,2504.435662428889,27229039.374715284
0.62,2626.2778468293996,25380029.060933407
0.64,2754.318991140629,23540921.825748023
0.66,2888.8825079938106,21719401.0808223
0.68,3030.308897025095,19924178.289134372
0.7000000000000001,3178.956667020571,18165107.158625662
0.72,3335.203295588766,16453310.007470611
0.74,3499.446232968926,14801317.4662634
0.76,3672.1039627856935,13223222.83091674
0.78,3853.6171285106566,11734852.729024619
0.8,4044.4497118601516,10353955.722105859
0.8200000000000001,4245.090271335097,9100410.715044988
0.84,4456.053255381993,7996457.231268843
0.86,4677.880382860803,7066949.901993292
0.88,4911.142112451884,6339639.622130326
0.9,5156.439097697937,5845484.190782997
0.92,5414.403915944253,5618991.44360355
0.9400000000000001,5685.702684856307,5698598.427809964
0.96,5971.036873729089,6127090.2041962175
0.98,6271.1451890499375,6952062.500708431
1.0,6586.805555647058,8226432.817661874
