Date,M00,M01,M02,M10,M11,M12,M20,M21,M22
2020-03-01,0.6731991093290236,0.6952043008594553,0.7985596442371558,0.8042139111593213,0.8074279744350186,0.8068419235289808,0.8406637509991339,0.9032429427809331,0.928653692228231
2020-03-02,0.7184224355477403,0.7118917592279632,0.6597316876056308,0.6409704059567569,0.6221370056522414,0.6394746907633465,0.6549134296530126,0.6564818175675904,0.6547828219107745
2020-03-03,0.4681727280621577,0.4768089623442185,0.49211985373634193,0.49377025949589515,0.5082759594436372,0.5030828546182688,0.5027629378099802,0.5216067874095544,0.5277658203743457
2020-03-04,0.4537200661226965,0.4522667731398423,0.4200568752766022,0.40416801557104404,0.3781629519763227,0.39839996348315304,0.42296355236212,0.4369852429358157,0.4404802157587306
2020-03-05,0.633327874088712,0.6293336252019323,0.5924254334760168,0.36342114801361247,0.3463773397721022,0.3602841564137377,0.5924216812690382,0.600500360904814,0.6019292650662701
2020-03-06,0.573750763212251,0.5797432173206296,0.5680814551396668,0.40233121139639944,0.33896976808089074,0.3827696756876688,0.52635574804558,0.47103830594176627,0.4185760433055827
2020-03-07,0.5348896409829125,0.5212386988994894,0.46607760804846926,0.30463968394910473,0.20999452563719892,0.27259068433154227,0.41949329162619003,0.3646469712205127,0.31217155448689293
2020-03-08,0.34990053412315636,0.34316704943478243,0.3111150905731295,0.19949642081892816,0.1280688422080829,0.17483756413362722,0.28607439699576936,0.2559799628112266,0.22802773813901372
2020-03-09,0.1752553756383024,0.17385041406785678,0.16170207531466999,0.10438577489652025,0.06840964702697806,0.09190385384625209,0.1511360179924097,0.13793643465141428,0.1259961369091705
2020-03-10,0.29160630677972027,0.2874845135163221,0.2697032634485219,0.19069766285095374,0.11255266193279985,0.157889564716842,0.2769941678512364,0.286211811512036,0.30337607762776997
2020-03-11,0.11318340227666762,0.11656708064937206,0.11837240170083316,0.08843523934657095,0.06264511903917318,0.07854395471624256,0.12418026846278722,0.13068136499000665,0.14066278218263703
2020-03-12,0.16130174957662813,0.15688158107317085,0.14421986929793906,0.0850291092983449,0.05521054271918495,0.07229226432460847,0.14200297845402982,0.14168229461895196,0.1404101172833499
2020-03-13,0.11123600407105799,0.12150574054607934,0.13973181763934087,0.0915480716084209,0.05873245727034407,0.07511698921268267,0.14906734284152695,0.14692831025697234,0.14600169262534227
2020-03-14,0.08315146071577574,0.09130012171293471,0.10251997249818423,0.06807414923984474,0.04487958545141348,0.057317367841084745,0.10917528575321667,0.10674614173055351,0.10421352999595508
2020-03-15,0.1400287383228817,0.14008312501736297,0.1340506110613287,0.06613098261005888,0.03937735654115335,0.052284133651403476,0.13181627345172858,0.12152547065451608,0.1014338862017308
2020-03-16,0.0998266742761986,0.10866273503920808,0.12816222884249565,0.10381226979952105,0.07268914266433028,0.0884073613003067,0.1292937437645434,0.11688861260154718,0.0981056326386356
2020-03-17,0.05235821196243115,0.07259978492679882,0.1206135367487425,0.09904035466406853,0.06556615806777451,0.08152250934398256,0.18140701988131613,0.17150502721168256,0.15044781252377257
2020-03-18,0.2506658164339814,0.2575236250464057,0.23703605551452442,0.17711511574863736,0.06317535956951416,0.08276751930586754,0.2994333850025143,0.30275002582961463,0.32102527071570364
2020-03-19,0.36524151096187846,0.38086523272646877,0.38061517332817313,0.1536924842111215,0.03433316121996952,0.05249020873202579,0.2419144284932914,0.203954940172046,0.10603006762505295
2020-03-20,0.1393991747506339,0.2137888543625195,0.3396162858829359,0.22085237562307244,0.04743707945341242,0.056871979040316,0.3618074615192055,0.3535096011025207,0.33642220601106787
2020-03-21,0.08977715821286421,0.1807363449117067,0.320174939949674,0.2717557035275197,0.07506538815003998,0.09207667030913363,0.326367528146531,0.269198203430495,0.09310951957679708
2020-03-22,0.02678344304559527,0.08142479008122806,0.1816122902464271,0.16915657348800242,0.07863429021626887,0.08374709175942845,0.18949967992646022,0.15159396768652594,0.04777914898419387
2020-03-23,0.314184875125626,0.3430248534768941,0.33929340281698395,0.15524844541619898,0.06711589256394436,0.07779975548793218,0.31586205159256514,0.24441069963118642,0.05187157182575786
2020-03-24,0.2004861822779098,0.2502777406909088,0.313677012361125,0.2624439670701714,0.17383655908667456,0.19373628843537288,0.28703961864819094,0.2076911456233584,0.014458048703502138
2020-03-25,0.47485538539150346,0.5027873801983995,0.4718987171945606,0.2216643302436836,0.13108770280779203,0.1496629683602641,0.4175272212793765,0.30724005861723686,0.03574739461403194
2020-03-26,0.2863497758827633,0.3658286433341797,0.4232759285898725,0.19234653865391227,0.07455744887293009,0.08509397358091396,0.4743520079412568,0.36747477432965875,0.07241228600679128
2020-03-27,0.15546393687176124,0.24950770464937033,0.3775383205040917,0.3072175407510869,0.21137320747817873,0.21257064965107297,0.5545020466064735,0.4431455397251826,0.13886506506515328
2020-03-28,0.28596759845436526,0.33048923662374635,0.5515580688044197,0.25115416126729473,0.1800112987255074,0.18949303242676846,0.4517129229738965,0.3303868299786566,0.005294050214172057
2020-03-29,0.18417450287958193,0.2140029441058659,0.36767452662882155,0.16816223593462726,0.11971011084498283,0.12706477028387447,0.30883116364351293,0.23990349669536143,0.04883944772417086
2020-03-30,0.1000684511493003,0.10423483844976925,0.3519166263324898,0.24221855462902725,0.14098589941739625,0.15905442733646194,0.3901255938540715,0.3522663564306098,0.2533919378485201
2020-03-31,0.25709913013357416,0.2557053196455942,0.35568404623823385,0.2993947935805649,0.14901537837847245,0.15878311249087818,0.3670718834901458,0.2873636470124908,0.10300105666905245
